R,R,R,R,F,F,F,F,M,M,M,M,C,C,C,C,L,L,L,L
count,unique,top,freq,count,unique,top,freq,count,unique,top,freq,count,unique,top,freq,count,unique,top,freq
944,377,402.0,13,944,16,2.0,535,944,672,1380.0,25,944,213,1.0,673,944,742,699.0,9
890,279,4.0,30,890,45,2.0,72,890,872,3934.0,3,890,844,1.41,22,890,669,2922.0,5
345,72,2.0,29,345,98,43.0,12,345,344,146784.0,2,345,345,1.2523144,1,345,320,2479.0,3
701,383,4.0,12,701,37,2.0,141,701,667,4154.0,4,701,527,1.5,109,701,575,454.0,5
706,242,4.0,18,706,45,3.0,82,706,687,36696.0,5,706,677,1.03,14,706,548,820.0,7
