summary,MEMBER_NO,FFP_DATE,FIRST_FLIGHT_DATE,GENDER,FFP_TIER,WORK_CITY,WORK_PROVINCE,WORK_COUNTRY,AGE,LOAD_TIME,FLIGHT_COUNT,BP_SUM,EP_SUM_YR_1,EP_SUM_YR_2,SUM_YR_1,SUM_YR_2,SEG_KM_SUM,WEIGHTED_SEG_KM,LAST_FLIGHT_DATE,AVG_FLIGHT_COUNT,AVG_BP_SUM,BEGIN_TO_FIRST,LAST_TO_END,AVG_INTERVAL,MAX_INTERVAL,ADD_POINTS_SUM_YR_1,ADD_POINTS_SUM_YR_2,EXCHANGE_COUNT,avg_discount,P1Y_Flight_Count,L1Y_Flight_Count,P1Y_BP_SUM,L1Y_BP_SUM,EP_SUM,ADD_Point_SUM,Eli_Add_Point_Sum,L1Y_ELi_Add_Points,Points_Sum,L1Y_Points_Sum,Ration_L1Y_Flight_Count,Ration_P1Y_Flight_Count,Ration_P1Y_BPS,Ration_L1Y_BPS,Point_NotFlight
count,62988,62988,62988,62985,62988,60720,59744,62963,62568,62988,62988,62988,62988,62988,62437,62850,62988,62988,62988,62988,62988,62988,62988,62988,62988,62988,62988,62988,62988,62988,62988,62988,62988,62988,62988,62988,62988,62988,62988,62988,62988,62988,62988,62988
mean,31494.5,,,,4.102162316631739,1.247327488909091E9,4190776.1304347827,,42.47634573583941,,11.839413856607608,10925.081253572109,0.0,265.68962342033404,5355.376063712222,5604.026014319809,17123.878691179274,12777.152438718467,,1.5421538342904573,1421.440248993008,120.14548802946592,176.12010224169683,67.74978791424688,166.0338953451451,540.3169651362164,814.6892582714167,0.3197751952752905,0.7215577705701455,5.766257064837747,6.073156791769861,5366.7205499460215,5558.360703626087,265.68962342033404,1355.0062234076331,1620.6958468279672,1080.3788816917508,12545.777100400077,6638.739585317839,0.48641864610365587,0.5135813538963429,0.5222934295012863,0.4684215503524499,2.7281545691242775
stddev,18183.21371485247,,,,0.37385597940639087,4.1368880944567037E9,2.0031436484830018E7,,9.885914823660341,,14.04947082003722,16339.486151414214,0.0,1645.702854047327,8109.45014689493,8703.364247170686,20960.844623254947,17578.586694610727,,1.7869961185917251,2083.1213238328764,159.5728665842407,183.82222339843653,77.51786600912051,123.39717999053403,3956.0834547681793,5121.796928673643,1.1360043077271191,0.18542662280874694,7.210921576436244,8.175126539989359,8537.773021409028,9351.956951918324,1645.702854047327,7868.477000097983,8294.398955295661,5639.8572544795425,20507.816700416446,12601.819863484423,0.3191046047803368,0.319104604780336,0.3396316267235935,0.33895586479879847,7.364163755463412
min,1,2004-11-1,1905-12-31,Å®,4,#NAME?,#NAME?,AA,110,2014-3-31,10,0,0,0,0,0,1000,0,2012-10-1,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
max,9999,2013-3-9,2015-5-30,ÄÐ,6,£Ô£×,£Ô£×,·Ò,92,2014-3-31,99,9999,0,998,9998,9999,9999,9999.98,2014/2/29  0:00:00,9.875,999.875,99,99,99.85714286,99,9990,9991,9,1.5,90,99,9998,9998,998,999,9995,999,9999,9998,1,1,0.99998861,0.999993205,96
